enrollee_id,city,city_development_index,gender,relevent_experience,enrolled_university,education_level,major_discipline,experience,company_size,company_type,last_new_job,training_hours,target,cdi_training_interaction,training_cdi_ratio,training_hours_binned,cdi_squared,cdi_cubed
0.890500,0.625000,0.631915,0.666667,1.000000,1.000000,0.200000,1.000000,0.714286,0.625000,1.000000,1.000000,0.251366,0.000000,0.208041,0.171155,0.333333,0.555359,0.479863
0.346326,0.525000,0.308511,0.000000,1.000000,0.333333,0.200000,1.000000,0.238095,0.000000,0.000000,0.000000,0.448087,0.000000,0.297054,0.379594,0.666667,0.238296,0.178671
0.019923,0.416667,0.612766,0.666667,0.000000,1.000000,0.600000,1.000000,1.000000,0.625000,0.333333,0.800000,0.038251,0.000000,0.031782,0.026903,0.000000,0.534668,0.458284
0.862968,0.408333,0.938298,0.666667,0.000000,1.000000,0.400000,0.000000,0.238095,0.625000,0.333333,0.200000,0.125683,0.000000,0.124420,0.071950,0.333333,0.919243,0.897979
0.020911,0.041667,0.938298,0.000000,0.000000,1.000000,0.200000,1.000000,0.809524,0.500000,1.000000,1.000000,0.666667,0.000000,0.653617,0.381559,1.000000,0.919243,0.897979
0.714581,0.041667,0.938298,0.666667,0.000000,1.000000,0.200000,1.000000,0.238095,0.875000,1.000000,0.200000,0.584699,0.000000,0.573436,0.334648,1.000000,0.919243,0.897979
0.767489,0.741667,0.923404,0.666667,0.000000,1.000000,0.200000,1.000000,1.000000,0.375000,1.000000,0.600000,0.120219,0.000000,0.118140,0.069374,0.333333,0.900125,0.874294
0.174511,0.525000,0.308511,0.666667,1.000000,0.000000,0.000000,0.000000,0.095238,0.000000,0.000000,0.000000,0.125683,0.000000,0.083145,0.107553,0.333333,0.238296,0.178671
0.261272,0.525000,0.308511,0.000000,1.000000,0.333333,0.400000,0.000000,0.238095,0.000000,0.000000,0.000000,0.136612,0.000000,0.090396,0.116775,0.333333,0.238296,0.178671
0.197340,0.108333,0.951064,0.666667,0.000000,1.000000,0.200000,1.000000,0.761905,0.125000,1.000000,1.000000,0.092896,0.000000,0.092975,0.052821,0.333333,0.935746,0.918569
0.124809,0.041667,0.938298,0.000000,0.000000,1.000000,0.200000,1.000000,0.047619,0.625000,1.000000,0.000000,0.573770,0.000000,0.562745,0.328394,1.000000,0.919243,0.897979
0.172653,0.525000,0.308511,0.000000,0.000000,1.000000,0.200000,1.000000,0.095238,0.875000,1.000000,0.400000,0.032787,0.000000,0.021509,0.029169,0.000000,0.238296,0.178671
0.957818,0.391667,0.774468,0.666667,0.000000,1.000000,0.600000,1.000000,0.523810,0.250000,1.000000,0.200000,0.366120,0.000000,0.329196,0.228978,0.666667,0.716980,0.656815
