enrollee_id,city,city_development_index,gender,relevent_experience,enrolled_university,education_level,major_discipline,experience,company_size,company_type,last_new_job,training_hours,target
8949.000000,city_103,0.920000,Male,Has relevent experience,no_enrollment,Graduate,STEM,21.000000,,,1.000000,36.000000,1.000000
29725.000000,city_40,0.776000,Male,No relevent experience,no_enrollment,Graduate,STEM,15.000000,50-99,Pvt Ltd,5.000000,47.000000,0.000000
11561.000000,city_21,0.624000,,No relevent experience,Full time course,Graduate,STEM,5.000000,,,0.000000,83.000000,0.000000
33241.000000,city_115,0.789000,,No relevent experience,,Graduate,Business Degree,0.000000,,Pvt Ltd,0.000000,52.000000,1.000000
666.000000,city_162,0.767000,Male,Has relevent experience,no_enrollment,Masters,STEM,21.000000,50-99,Funded Startup,4.000000,8.000000,0.000000
21651.000000,city_176,0.764000,,Has relevent experience,Part time course,Graduate,STEM,11.000000,,,1.000000,24.000000,1.000000
28806.000000,city_160,0.920000,Male,Has relevent experience,no_enrollment,High School,,5.000000,50-99,Funded Startup,1.000000,24.000000,0.000000
402.000000,city_46,0.762000,Male,Has relevent experience,no_enrollment,Graduate,STEM,13.000000,<10,Pvt Ltd,5.000000,18.000000,1.000000
27107.000000,city_103,0.920000,Male,Has relevent experience,no_enrollment,Graduate,STEM,7.000000,50-99,Pvt Ltd,1.000000,46.000000,1.000000
699.000000,city_103,0.920000,,Has relevent experience,no_enrollment,Graduate,STEM,17.000000,10000+,Pvt Ltd,5.000000,123.000000,0.000000
29452.000000,city_21,0.624000,,No relevent experience,Full time course,High School,,2.000000,,,0.000000,32.000000,1.000000
23853.000000,city_103,0.920000,Male,Has relevent experience,no_enrollment,Graduate,STEM,5.000000,5000-9999,Pvt Ltd,1.000000,108.000000,0.000000
25619.000000,city_61,0.913000,Male,Has relevent experience,no_enrollment,Graduate,STEM,21.000000,1000-4999,Pvt Ltd,3.000000,23.000000,0.000000
5826.000000,city_21,0.624000,Male,No relevent experience,,,,2.000000,,,0.000000,24.000000,0.000000
8722.000000,city_21,0.624000,,No relevent experience,Full time course,High School,,5.000000,,,0.000000,26.000000,0.000000
6588.000000,city_114,0.926000,Male,Has relevent experience,no_enrollment,Graduate,STEM,16.000000,10/49,Pvt Ltd,5.000000,18.000000,0.000000
4167.000000,city_103,0.920000,,Has relevent experience,no_enrollment,Graduate,STEM,1.000000,50-99,Pvt Ltd,0.000000,106.000000,0.000000
5764.000000,city_21,0.624000,,Has relevent experience,no_enrollment,Graduate,STEM,2.000000,5000-9999,Pvt Ltd,2.000000,7.000000,0.000000
2156.000000,city_21,0.624000,,Has relevent experience,no_enrollment,Graduate,STEM,7.000000,10000+,Pvt Ltd,0.000000,23.000000,1.000000
11399.000000,city_13,0.827000,Female,Has relevent experience,no_enrollment,Graduate,Arts,4.000000,,,1.000000,132.000000,1.000000
31972.000000,city_159,0.843000,Male,Has relevent experience,no_enrollment,Masters,STEM,11.000000,100-500,Pvt Ltd,1.000000,68.000000,0.000000
19061.000000,city_114,0.926000,Male,Has relevent experience,no_enrollment,Masters,STEM,11.000000,100-500,Pvt Ltd,2.000000,50.000000,0.000000
6491.000000,city_102,0.804000,,Has relevent experience,no_enrollment,Masters,STEM,10.000000,,,1.000000,48.000000,0.000000
7041.000000,city_40,0.776000,Male,Has relevent experience,no_enrollment,Graduate,Humanities,0.000000,1000-4999,Pvt Ltd,1.000000,65.000000,0.000000
22767.000000,city_21,0.624000,,Has relevent experience,no_enrollment,Graduate,STEM,5.000000,1000-4999,Pvt Ltd,1.000000,13.000000,0.000000
14505.000000,city_67,0.855000,,No relevent experience,no_enrollment,High School,,4.000000,,,0.000000,22.000000,0.000000
17139.000000,city_21,0.624000,,Has relevent experience,Part time course,Graduate,STEM,14.000000,500-999,Pvt Ltd,1.000000,148.000000,1.000000
28476.000000,city_103,0.920000,Male,Has relevent experience,no_enrollment,Graduate,Arts,5.000000,,,2.000000,72.000000,0.000000
21538.000000,city_100,0.887000,Male,Has relevent experience,no_enrollment,High School,,11.000000,<10,Pvt Ltd,1.000000,8.000000,1.000000
10408.000000,city_21,0.624000,Male,Has relevent experience,no_enrollment,Graduate,STEM,18.000000,50-99,Funded Startup,2.000000,68.000000,1.000000
14928.000000,city_103,0.920000,Male,Has relevent experience,no_enrollment,Graduate,STEM,21.000000,100-500,Pvt Ltd,3.000000,40.000000,0.000000
22293.000000,city_103,0.920000,Male,Has relevent experience,Part time course,Graduate,STEM,19.000000,5000-9999,Pvt Ltd,5.000000,141.000000,0.000000
4324.000000,city_103,0.920000,Female,No relevent experience,Full time course,Graduate,STEM,5.000000,,,1.000000,24.000000,0.000000
26966.000000,city_160,0.920000,Female,Has relevent experience,no_enrollment,Graduate,STEM,21.000000,100-500,Pvt Ltd,5.000000,82.000000,0.000000
26494.000000,city_16,0.910000,Male,Has relevent experience,no_enrollment,Graduate,Business Degree,12.000000,5000-9999,Pvt Ltd,3.000000,145.000000,0.000000
4866.000000,city_103,0.920000,Male,Has relevent experience,no_enrollment,Graduate,STEM,10.000000,10/49,Early Stage Startup,2.000000,206.000000,0.000000
12726.000000,city_114,0.926000,Male,No relevent experience,Part time course,High School,,1.000000,10000+,Other,1.000000,152.000000,0.000000
10164.000000,city_114,0.926000,Male,Has relevent experience,no_enrollment,Phd,STEM,21.000000,100-500,Pvt Ltd,4.000000,42.000000,1.000000
8612.000000,city_103,0.920000,,No relevent experience,no_enrollment,Graduate,STEM,12.000000,,,4.000000,50.000000,0.000000
24659.000000,city_71,0.884000,Male,No relevent experience,no_enrollment,,,3.000000,,,0.000000,106.000000,0.000000
2547.000000,city_114,0.926000,Female,Has relevent experience,Full time course,Masters,STEM,16.000000,1000-4999,Public Sector,2.000000,14.000000,0.000000
13854.000000,city_104,0.924000,Male,Has relevent experience,no_enrollment,High School,,4.000000,10/49,Pvt Ltd,2.000000,36.000000,0.000000
31654.000000,city_21,0.624000,,Has relevent experience,no_enrollment,Masters,STEM,6.000000,50-99,Early Stage Startup,1.000000,112.000000,1.000000
13643.000000,city_64,0.666000,,No relevent experience,no_enrollment,Graduate,No Major,9.000000,50-99,Pvt Ltd,0.000000,108.000000,0.000000
5590.000000,city_21,0.624000,Male,Has relevent experience,Part time course,Masters,STEM,9.000000,5000-9999,Pvt Ltd,3.000000,7.000000,1.000000
22452.000000,city_21,0.624000,Female,No relevent experience,Full time course,Masters,STEM,5.000000,,,0.000000,26.000000,1.000000
9006.000000,city_21,0.624000,Male,Has relevent experience,no_enrollment,Graduate,STEM,5.000000,100-500,Pvt Ltd,0.000000,87.000000,1.000000
25987.000000,city_103,0.920000,Other,Has relevent experience,no_enrollment,Graduate,STEM,19.000000,10000+,Public Sector,4.000000,52.000000,1.000000
4476.000000,city_101,0.558000,Male,Has relevent experience,no_enrollment,Graduate,No Major,15.000000,,,5.000000,20.000000,1.000000
25103.000000,city_83,0.923000,Male,Has relevent experience,no_enrollment,Graduate,STEM,11.000000,10/49,Pvt Ltd,1.000000,21.000000,0.000000
5568.000000,city_101,0.558000,Male,No relevent experience,no_enrollment,Graduate,STEM,4.000000,,,1.000000,92.000000,1.000000
2195.000000,city_64,0.666000,Male,Has relevent experience,no_enrollment,Graduate,STEM,10.000000,100-500,Pvt Ltd,2.000000,102.000000,0.000000
30533.000000,city_105,0.794000,Male,No relevent experience,no_enrollment,Graduate,Humanities,5.000000,10000+,Pvt Ltd,5.000000,26.000000,0.000000
28512.000000,city_104,0.924000,,Has relevent experience,no_enrollment,Masters,STEM,3.000000,<10,Early Stage Startup,2.000000,7.000000,0.000000
1023.000000,city_114,0.926000,Male,No relevent experience,Full time course,High School,,4.000000,10000+,Pvt Ltd,1.000000,43.000000,0.000000
12253.000000,city_104,0.924000,Male,Has relevent experience,no_enrollment,Graduate,STEM,21.000000,100-500,Pvt Ltd,1.000000,45.000000,0.000000
25296.000000,city_73,0.754000,Male,Has relevent experience,Full time course,Graduate,STEM,2.000000,50-99,Early Stage Startup,2.000000,52.000000,0.000000
13238.000000,city_103,0.920000,Male,Has relevent experience,no_enrollment,Graduate,STEM,21.000000,,,2.000000,19.000000,0.000000
13478.000000,city_21,0.624000,,Has relevent experience,Full time course,Graduate,STEM,2.000000,10/49,Funded Startup,,32.000000,1.000000
18578.000000,city_162,0.767000,Male,Has relevent experience,no_enrollment,Graduate,Humanities,21.000000,100-500,Pvt Ltd,5.000000,26.000000,1.000000
29975.000000,city_67,0.855000,Male,Has relevent experience,Part time course,Graduate,STEM,6.000000,,,1.000000,90.000000,0.000000
26516.000000,city_75,0.939000,Male,Has relevent experience,no_enrollment,Graduate,STEM,6.000000,100-500,Pvt Ltd,3.000000,25.000000,0.000000
24690.000000,city_41,0.827000,,Has relevent experience,,Masters,STEM,13.000000,<10,,1.000000,15.000000,0.000000
8433.000000,city_100,0.887000,Male,Has relevent experience,no_enrollment,Masters,Humanities,21.000000,100-500,Pvt Ltd,5.000000,48.000000,0.000000
9572.000000,city_11,0.550000,,No relevent experience,Full time course,High School,,3.000000,,,,98.000000,0.000000
5878.000000,city_93,0.865000,Male,Has relevent experience,no_enrollment,Graduate,STEM,10.000000,50-99,Pvt Ltd,2.000000,142.000000,1.000000
25695.000000,city_67,0.855000,Other,No relevent experience,no_enrollment,Masters,Humanities,4.000000,10000+,Pvt Ltd,4.000000,13.000000,0.000000
9645.000000,city_16,0.910000,Male,Has relevent experience,no_enrollment,Graduate,STEM,15.000000,,,5.000000,47.000000,0.000000
12730.000000,city_16,0.910000,Female,Has relevent experience,no_enrollment,Masters,Humanities,14.000000,500-999,Public Sector,1.000000,28.000000,0.000000
4830.000000,city_90,0.698000,,No relevent experience,,,,2.000000,,Pvt Ltd,0.000000,228.000000,1.000000
20970.000000,city_64,0.666000,Male,Has relevent experience,no_enrollment,Graduate,STEM,21.000000,,,4.000000,22.000000,0.000000
17271.000000,city_21,0.624000,Male,No relevent experience,Full time course,Graduate,STEM,0.000000,,,0.000000,18.000000,1.000000
12731.000000,city_13,0.827000,Male,Has relevent experience,no_enrollment,Graduate,STEM,2.000000,10/49,Pvt Ltd,1.000000,29.000000,0.000000
10908.000000,city_67,0.855000,Male,Has relevent experience,no_enrollment,Masters,STEM,5.000000,100-500,,1.000000,46.000000,0.000000
29117.000000,city_11,0.550000,,No relevent experience,Full time course,Graduate,STEM,0.000000,,,0.000000,12.000000,0.000000
3686.000000,city_103,0.920000,,Has relevent experience,no_enrollment,Graduate,STEM,5.000000,100-500,Pvt Ltd,2.000000,17.000000,0.000000
22683.000000,city_36,0.893000,Male,Has relevent experience,no_enrollment,Masters,STEM,5.000000,50-99,Pvt Ltd,2.000000,65.000000,0.000000
22134.000000,city_103,0.920000,Male,No relevent experience,no_enrollment,Graduate,Humanities,3.000000,100-500,Pvt Ltd,1.000000,35.000000,0.000000
31765.000000,city_67,0.855000,Male,No relevent experience,Full time course,Graduate,STEM,9.000000,10000+,Pvt Ltd,3.000000,14.000000,0.000000
31449.000000,city_103,0.920000,Female,Has relevent experience,no_enrollment,Masters,STEM,2.000000,<10,Early Stage Startup,1.000000,4.000000,0.000000
5987.000000,city_103,0.920000,Male,Has relevent experience,no_enrollment,Graduate,STEM,15.000000,50-99,Pvt Ltd,5.000000,12.000000,0.000000
21762.000000,city_160,0.920000,Male,Has relevent experience,no_enrollment,Graduate,STEM,21.000000,50-99,Pvt Ltd,2.000000,108.000000,0.000000
22070.000000,city_103,0.920000,Male,No relevent experience,no_enrollment,Graduate,STEM,21.000000,,,1.000000,136.000000,0.000000
25413.000000,city_103,0.920000,Male,Has relevent experience,no_enrollment,Graduate,STEM,5.000000,10/49,,1.000000,27.000000,0.000000
